station,total_docks,lon,lat,nearest_junior_high_distance,nearest_university_distance,nearest_mrt_distance,nearest_bus_distance,district
臺北大學宿舍(學成路),20,121.36856,24.94092,578.82,818.15,5405.86,60.1,三峽區
臺北大學懷德居木師基地,14,121.36743,24.94334,650.51,967.04,5419.72,262.37,三峽區
臺北大學法學院(鳶飛大道),29,121.37333,24.94438,302.46,503.24,4819.85,66.79,三峽區
臺北大學田徑場(體風路),52,121.36433,24.9395,424.36,1256.0,5860.51,110.25,三峽區
臺北大學社科院(公政大道),25,121.3701,24.94441,568.25,762.49,5126.66,325.89,三峽區
臺北大學社科院(圖資大道),37,121.36912,24.94396,588.99,828.8,5236.23,344.22,三峽區
臺北大學蓮池,24,121.37117,24.94723,382.45,885.86,4932.41,160.13,三峽區
臺北大學行政大樓(公政大道),34,121.37037,24.94457,536.54,748.18,5095.22,293.69,三峽區
臺北大學行政大樓(法商大道),23,121.3712,24.94494,443.46,703.26,5002.87,205.36,三峽區
臺北大學隆恩哨(忘憂路),15,121.36547,24.94254,684.63,1142.19,5635.45,77.91,三峽區
臺北大學體育館,22,121.36688,24.93974,634.35,997.67,5612.15,103.87,三峽區
臺北海洋科技大學,34,121.42746,25.1912,535.3,156.81,3130.41,65.59,淡水區
臺北醫院,39,121.45978,25.04358,390.83,3690.86,418.75,60.08,新莊區
臺大醫院金山分院,16,121.62916,25.21974,690.34,1629.4,15344.05,46.42,金山區
臺灣藝術大學,65,121.448,25.0075,11.16,11.16,1058.57,50.14,板橋區
臺鐵樹林車站(後站停車場),64,121.42384,24.99089,333.96,3056.77,2570.31,88.44,樹林區
臺鐵鳳鳴站,40,121.33674,24.97227,518.23,5318.06,8350.28,32.22,鶯歌區
臺鐵鳳鳴站(鶯歌路),20,121.33651,24.97189,470.41,5308.22,8365.97,68.28,鶯歌區
興化公園,55,121.46112,25.06523,928.23,4732.14,429.59,79.35,新莊區
興南路二段231巷口,19,121.5035,24.98229,450.64,492.27,1016.76,18.67,中和區
興南路二段34巷口,32,121.50701,24.98539,155.52,583.03,534.0,19.07,中和區
興德路134號(前),20,121.47102,25.05287,600.88,4951.47,709.29,152.89,三重區
興林路151巷口,25,121.38917325443384,25.073449376722625,128.23,1260.81,5965.08,109.03,林口區
興穀國小,35,121.47421,25.04937,123.36,4669.57,419.95,25.75,三重區
興華公園,45,121.4831,25.06013,519.55,6109.73,483.17,137.89,三重區
芳洲八路,20,121.44631,25.0888,1004.2,4878.64,1839.81,109.38,五股區
茄苳茄福街口,15,121.673,25.06723,541.56,10368.49,5669.32,107.78,汐止區
